"","year","cell","cell_lat","cell_lng","gr_mn_open","gr_popen","gr_mn_for","gr_pfor","gr_mn_lag","...1","colddays","warmdays","spring.gdd","summer.gdd"
"1",2000,487,NA,NA,NA,NA,NA,NA,NA,75,100,26,26.9575921222818,375.610603003014
"2",2000,507,NA,NA,NA,NA,NA,NA,NA,76,74,28,216.303458735271,649.630681930542
"3",2000,508,NA,NA,NA,NA,NA,NA,NA,77,83,30,112.204070841069,500.217672138641
"4",2000,509,NA,NA,NA,NA,NA,NA,NA,78,89,25,104.634336199101,481.805132016844
"5",2000,512,NA,NA,NA,NA,NA,NA,NA,81,111,19,87.6759390764729,441.682572536341
"6",2000,513,NA,NA,NA,NA,NA,NA,NA,82,104,21,78.8877523786184,476.574789845612
"7",2000,514,NA,NA,NA,NA,NA,NA,NA,83,81,44,87.5667858961557,546.621834227611
"8",2000,534,NA,NA,NA,NA,NA,NA,NA,84,60,40,334.015523677795,859.712872321943
"9",2000,535,NA,NA,NA,NA,NA,NA,NA,85,67,45,202.745361502766,654.363538927371
"10",2000,536,NA,NA,NA,NA,NA,NA,NA,86,64,55,102.154747932277,542.448992189236
"11",2000,537,NA,NA,NA,NA,NA,NA,NA,87,91,30,142.28911446838,516.700160605024
"12",2000,538,NA,NA,NA,NA,NA,NA,NA,88,92,24,115.420260048342,478.434867881662
"13",2000,539,NA,NA,NA,NA,NA,NA,NA,89,92,29,115.031443144861,489.262901801154
"14",2000,540,NA,NA,NA,NA,NA,NA,NA,90,86,29,116.407273972986,539.278555483349
"15",2000,541,NA,NA,NA,NA,NA,NA,NA,91,72,36,139.089832533928,623.189125574521
"16",2000,562,NA,NA,NA,NA,NA,NA,NA,92,48,53,417.721138583623,938.23512708833
"17",2000,563,NA,NA,NA,NA,NA,NA,NA,93,54,47,296.476521312688,762.886357873655
"18",2000,564,NA,NA,NA,NA,NA,NA,NA,94,54,54,214.513145304802,679.360292174103
"19",2000,565,NA,NA,NA,NA,NA,NA,NA,95,73,48,172.311136420203,621.915997624529
"20",2000,566,NA,NA,NA,NA,NA,NA,NA,96,77,36,184.976543288595,609.649902947402
"21",2000,567,NA,NA,NA,NA,NA,NA,NA,97,72,40,174.519418275891,656.251063631987
"22",2000,568,NA,NA,NA,NA,NA,NA,NA,98,53,47,175.052140391158,670.974856694466
"23",2000,589,NA,NA,NA,NA,NA,NA,NA,99,31,64,546.757016476862,1115.62196740437
"24",2000,590,NA,NA,NA,NA,NA,NA,NA,100,40,66,455.150167135941,1020.23849216725
"25",2000,591,NA,NA,NA,NA,NA,NA,NA,101,39,72,361.604214506575,873.296549932881
"26",2000,592,NA,NA,NA,NA,NA,NA,NA,102,50,73,296.918402992538,760.162334131024
"27",2000,593,NA,NA,NA,NA,NA,NA,NA,103,54,65,235.654852769315,741.199686669817
"28",2000,594,NA,NA,NA,NA,NA,NA,NA,104,53,54,240.544020210946,707.575624615707
"29",2000,595,NA,NA,NA,NA,NA,NA,NA,105,40,51,255.158463638164,763.881166660841
"30",2000,616,NA,NA,NA,NA,NA,NA,NA,106,11,91,678.759746562449,1408.0176047844
"31",2000,617,NA,NA,NA,NA,NA,NA,NA,107,18,85,619.435623321613,1243.52244692555
"32",2000,618,NA,NA,NA,NA,NA,NA,NA,108,27,84,543.537541680905,1106.75644050357
"33",2000,619,NA,NA,NA,NA,NA,NA,NA,109,36,79,476.229523068563,975.17098297598
"34",2000,620,NA,NA,NA,NA,NA,NA,NA,110,42,89,356.527257440136,868.321939936546
"35",2000,621,NA,NA,NA,NA,NA,NA,NA,111,45,59,348.820180463913,792.394036041228
"36",2000,622,NA,NA,NA,NA,NA,NA,NA,112,25,85,370.219443525324,951.431321208384
"37",2000,644,NA,NA,NA,NA,NA,NA,NA,113,6,106,694.387013626775,1374.45192768865
"38",2000,645,NA,NA,NA,NA,NA,NA,NA,114,8,98,691.263302873628,1276.29084512077
"39",2000,646,NA,NA,NA,NA,NA,NA,NA,115,18,90,629.231518361383,1140.68885629673
"40",2000,647,NA,NA,NA,NA,NA,NA,NA,116,25,81,573.935522265294,1014.65511205993
