"","year","cell","cell_lat","cell_lng","gr_mn_all","gr_pall","gr_mn_for","gr_pfor","p_open","gr_mn_open","gr_mn_lag","...1","colddays","warmdays","spring.gdd","summer.gdd"
"1",2000,487,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,100,26,26.9575921222818,375.610603003014
"2",2000,507,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,74,28,216.303458735271,649.630681930542
"3",2000,508,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,83,30,112.204070841069,500.217672138641
"4",2000,509,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,89,25,104.634336199101,481.805132016844
"5",2000,512,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,111,19,87.6759390764729,441.682572536341
"6",2000,513,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,104,21,78.8877523786184,476.574789845612
"7",2000,514,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,81,44,87.5667858961557,546.621834227611
"8",2000,534,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,60,40,334.015523677795,859.712872321943
"9",2000,535,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,67,45,202.745361502766,654.363538927371
"10",2000,536,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,64,55,102.154747932277,542.448992189236
"11",2000,537,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,91,30,142.28911446838,516.700160605024
"12",2000,538,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,92,24,115.420260048342,478.434867881662
"13",2000,539,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,92,29,115.031443144861,489.262901801154
"14",2000,540,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,86,29,116.407273972986,539.278555483349
"15",2000,541,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,72,36,139.089832533928,623.189125574521
"16",2000,562,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,48,53,417.721138583623,938.23512708833
