"","year","cell","colddays","warmdays","spring.gdd","summer.gdd"
"1",2000,234,176,1,0,91.2123652292015
"2",2000,235,175,1,0,32.0404536767061
"3",2000,236,176,0,0,15.2449061872769
"4",2000,237,175,1,0,10.0932351540442
"5",2000,239,160,4,1.17234992644322,10.4716078105585
"6",2000,261,176,1,0,118.01159118312
"7",2000,262,176,0,0,44.0120306941315
"8",2000,263,174,1,0,20.0230502868946
"9",2000,264,175,0,0,14.1771505426276
"10",2000,265,175,1,0,5.35551664844157
"11",2000,267,154,6,2.24967740723117,26.0344151222307
"12",2000,289,176,1,0,173.324242915779
"13",2000,290,174,1,0,52.0198453315217
"14",2000,291,173,3,0,36.6690983533077
"15",2000,292,169,3,0,21.2400382879674
"16",2000,293,175,0,0,4.23506559651411
"17",2000,295,158,2,0.0113967681347199,5.23537318866024
"18",2000,316,171,2,0,195.700631085247
"19",2000,317,172,3,0.0917349988920792,144.90907124962
"20",2000,318,170,4,0,77.0796507684488
"21",2000,319,168,5,0,66.5971735458743
"22",2000,320,169,2,0,25.2966686039008
"23",2000,323,114,34,1.81728788984401,30.856946584911
"24",2000,343,168,5,0,190.758946156656
"25",2000,344,165,3,0.411894279535935,171.70595870863
"26",2000,345,160,3,0.000795018454226408,134.076336788685
"27",2000,346,162,4,0,68.1568632608011
"28",2000,347,163,9,0,63.3933301047627
"29",2000,348,158,10,0,39.179458334103
"30",2000,3669,0,178,1279.3204375279,1703.84879310904
"31",2000,3670,0,178,1264.47363031261,1712.78607635338
"32",2000,3671,0,171,1124.60853363704,1666.9564139937
"33",2000,3672,0,164,1141.61603829629,1603.96472743902
"34",2000,3673,0,165,1100.99927185901,1576.58862759981
"35",2000,3699,0,179,1337.18515404021,1668.29126656078
"36",2000,370,155,4,18.3909173848954,297.444989255043
"37",2000,3700,0,178,1264.36413027434,1622.12426623645
"38",2000,3727,0,179,1342.48221259075,1651.75572612395
"39",2000,373,158,5,0.0753898676208296,94.2555285888737
"40",2000,374,163,6,0.115330520969459,90.8373986711316
"41",2000,375,150,7,3.27123259482792,141.617328975091
"42",2000,376,169,2,0.687512225299636,97.8791746849621
"43",2000,398,135,7,28.0031528642957,335.377187197112
"44",2000,400,144,6,4.6202692343644,142.824773965078
"45",2000,401,142,8,5.53651754802654,140.912403444839
"46",2000,402,150,9,10.5776203776876,215.288877086536
"47",2000,403,156,5,9.44590936380098,210.92905455151
"48",2000,404,157,10,13.9924859674584,191.418984683702
"49",2000,405,133,12,32.5738441657095,290.627322993345
"50",2000,425,122,11,60.9158898360251,451.980984740851
"51",2000,426,136,5,32.5414109786178,343.955026142723
"52",2000,427,124,8,31.3566837613618,328.087794130391
"53",2000,428,134,12,18.8137342177354,199.048379026294
"54",2000,429,143,10,19.5588367484166,209.401230659091
"55",2000,430,148,7,17.5828876301898,311.728041206681
"56",2000,431,151,7,16.8895639535026,276.411241695178
"57",2000,432,146,10,32.4402306322278,317.755513373356
"58",2000,433,120,14,34.5657641379919,312.840663756981
"59",2000,452,102,23,99.4760699212484,577.161245409061
"60",2000,453,116,9,79.311048722932,451.522341641639
"61",2000,454,122,13,44.530859979857,372.374598008367
"62",2000,455,116,13,39.2101908825837,341.474101207736
"63",2000,456,129,15,42.4470898373793,290.907478321065
"64",2000,457,139,9,22.9160245439226,328.36712033825
"65",2000,458,140,9,27.1723660828802,362.737983452505
"66",2000,459,139,9,31.9695634069968,378.672694267168
"67",2000,460,116,15,26.8229169134934,356.144265553778
"68",2000,480,98,28,148.2173936787,584.518597690647
"69",2000,481,109,17,88.2490395618508,450.007166898296
"70",2000,482,104,16,77.3738753485335,424.506963689885
"71",2000,483,105,16,58.2241107113887,375.045012682482
"72",2000,484,126,16,44.4924469766554,373.160566620981
"73",2000,485,128,9,41.8948079440566,376.353994941372
"74",2000,486,125,9,30.1395793929809,321.246400766702
"75",2000,487,100,26,26.9575921222818,375.610603003014
"76",2000,507,74,28,216.303458735271,649.630681930542
"77",2000,508,83,30,112.204070841069,500.217672138641
"78",2000,509,89,25,104.634336199101,481.805132016844
"79",2000,510,98,15,89.1855743112165,432.9025530425
"80",2000,511,118,19,27.8107417849398,311.31496223093
"81",2000,512,111,19,87.6759390764729,441.682572536341
"82",2000,513,104,21,78.8877523786184,476.574789845612
"83",2000,514,81,44,87.5667858961557,546.621834227611
"84",2000,534,60,40,334.015523677795,859.712872321943
"85",2000,535,67,45,202.745361502766,654.363538927371
"86",2000,536,64,55,102.154747932277,542.448992189236
"87",2000,537,91,30,142.28911446838,516.700160605024
"88",2000,538,92,24,115.420260048342,478.434867881662
"89",2000,539,92,29,115.031443144861,489.262901801154
"90",2000,540,86,29,116.407273972986,539.278555483349
"91",2000,541,72,36,139.089832533928,623.189125574521
"92",2000,562,48,53,417.721138583623,938.23512708833
"93",2000,563,54,47,296.476521312688,762.886357873655
"94",2000,564,54,54,214.513145304802,679.360292174103
"95",2000,565,73,48,172.311136420203,621.915997624529
"96",2000,566,77,36,184.976543288595,609.649902947402
"97",2000,567,72,40,174.519418275891,656.251063631987
"98",2000,568,53,47,175.052140391158,670.974856694466
"99",2000,589,31,64,546.757016476862,1115.62196740437
"100",2000,590,40,66,455.150167135941,1020.23849216725
"101",2000,591,39,72,361.604214506575,873.296549932881
"102",2000,592,50,73,296.918402992538,760.162334131024
"103",2000,593,54,65,235.654852769315,741.199686669817
"104",2000,594,53,54,240.544020210946,707.575624615707
"105",2000,595,40,51,255.158463638164,763.881166660841
"106",2000,616,11,91,678.759746562449,1408.0176047844
"107",2000,617,18,85,619.435623321613,1243.52244692555
"108",2000,618,27,84,543.537541680905,1106.75644050357
"109",2000,619,36,79,476.229523068563,975.17098297598
"110",2000,620,42,89,356.527257440136,868.321939936546
"111",2000,621,45,59,348.820180463913,792.394036041228
"112",2000,622,25,85,370.219443525324,951.431321208384
"113",2000,644,6,106,694.387013626775,1374.45192768865
"114",2000,645,8,98,691.263302873628,1276.29084512077
