,ScientificName,n,heirarchy,SpeciesID
1,,2722,0,
2,Achalarus casica,57,1,Achalarus casica
3,Achalarus jalapus,2,1,Achalarus jalapus
4,Achalarus lyciades,837,1,Achalarus lyciades
5,Achalarus tehuacana,1,1,Achalarus tehuacana
6,Achalarus toxeus,24,1,Achalarus toxeus
7,Achlyodes thraso,107,1,Achlyodes thraso
8,Adelpha,2,0,Adelpha
9,Adelpha basiloides,8,1,Adelpha basiloides
10,Adelpha bredowii,528,1,Adelpha bredowii
11,Adelpha bredowii eualia,2,2,Adelpha bredowii
12,Adelpha fessonia,12,1,Adelpha fessonia
13,Adopaeoides prittwitzi,3,1,Adopaeoides prittwitzi
14,Agathymus aryxna,13,1,Agathymus aryxna
15,Agraulis vanillae,2335,1,Agraulis vanillae
16,Agriades,1,0,Agriades
17,Agriades cassiope,4,1,Agriades cassiope
18,Agriades glandon,116,1,Agriades glandon
19,Agriades glandon franklinii,7,2,Agriades glandon
20,Agriades glandon glandon,1,2,Agriades glandon
21,Agriades glandon podarce,33,2,Agriades glandon
22,Aguna asander,5,1,Aguna asander
23,Aguna metophis,2,1,Aguna metophis
24,Amblyscirtes,25,0,Amblyscirtes
25,Amblyscirtes aenus,93,1,Amblyscirtes aenus
26,Amblyscirtes aesculapius,364,1,Amblyscirtes aesculapius
27,Amblyscirtes alternata,32,1,Amblyscirtes alternata
28,Amblyscirtes belli,92,1,Amblyscirtes belli
29,Amblyscirtes carolina,28,1,Amblyscirtes carolina
30,Amblyscirtes cassus,56,1,Amblyscirtes cassus
31,Amblyscirtes celia,166,1,Amblyscirtes celia
32,Amblyscirtes elissa,38,1,Amblyscirtes elissa
33,Amblyscirtes eos,72,1,Amblyscirtes eos
34,Amblyscirtes exoteria,60,1,Amblyscirtes exoteria
35,Amblyscirtes fimbriata,30,1,Amblyscirtes fimbriata
36,Amblyscirtes hegon,79,1,Amblyscirtes hegon
37,Amblyscirtes nereus,43,1,Amblyscirtes nereus
38,Amblyscirtes nysa,145,1,Amblyscirtes nysa
39,Amblyscirtes oslari,16,1,Amblyscirtes oslari
40,Amblyscirtes phylace,16,1,Amblyscirtes phylace
41,Amblyscirtes reversa,26,1,Amblyscirtes reversa
42,Amblyscirtes texanae,45,1,Amblyscirtes texanae
43,Amblyscirtes tolteca,23,1,Amblyscirtes tolteca
44,Amblyscirtes vialis,491,1,Amblyscirtes vialis
45,Anaea,4,0,Anaea
46,Anaea aidea,61,1,Anaea aidea
47,Anaea andria,733,1,Anaea andria
48,Anaea floridalis,17,1,Anaea floridalis
49,Anaea pithyusa,1,1,Anaea pithyusa
50,Anartia fatima,20,1,Anartia fatima
51,Anartia jatrophae,731,1,Anartia jatrophae
52,Anatrytone logan,2672,1,Anatrytone logan
53,Anatrytone mazai,1,1,Anatrytone mazai
54,Ancyloxypha arene,22,1,Ancyloxypha arene
55,Ancyloxypha numitor,3861,1,Ancyloxypha numitor
56,Anteos clorinde,23,1,Anteos clorinde
57,Anteos maerula,17,1,Anteos maerula
58,Anteros carausius,1,1,Anteros carausius
59,Anthocharis,3,0,Anthocharis
60,Anthocharis cethura,19,1,Anthocharis cethura
61,Anthocharis cethura pima,5,2,Anthocharis cethura
62,Anthocharis lanceolata,46,1,Anthocharis lanceolata
63,Anthocharis midea,51,1,Anthocharis midea
