ID,Gen/Tribe/Fam,Species_Epithet,SumOfTotal_Count,Overwinter stage,Family
1,Achalarus,lyciades,76,L,Hesperiidae
2,Agraulis,vanillae,300,NA,
3,Amblyscirtes,aesculapius,140,?,
4,Amblyscirtes,carolina,60,NA,
5,Amblyscirtes,reversa,2,NA,
6,Amblyscirtes,vialis,19,L,Hesperiidae
7,Anatrytone,logan,198,V,Hesperiidae
8,Ancyloxypha,numitor,909,L,Hesperiidae
9,Anthocharis,midea,8,P,Pieridae
10,Asterocampa,celtis,303,L,Nymphalidae
11,Asterocampa,clyton,100,L,Nymphalidae
12,Atalopedes,campestris,5447,NA,
13,Atlides,halesus,31,P,Lycaenidae
14,Atrytonopsis,hianna,8,L,Hesperiidae
15,Atrytonopsis,hianna loammi,8,L,Hesperiidae
16,Battus,philenor,359,P,Papilionidae
17,Boloria,bellona,659,L,Nymphalidae
18,Calephelis,virginiensis,26,NA,
19,Callophrys,augustinus,4,P,Lycaenidae
20,Callophrys,gryneus,18,P,Lycaenidae
21,Callophrys,henrici,3,P,Lycaenidae
22,Callophrys,niphon,1,P,Lycaenidae
23,Calpodes,ethlius,1,?,
24,Calycopis,cecrops,477,L,Lycaenidae
25,Celastrina,ladon,1027,P,Lycaenidae
26,Celastrina,ladon neglecta,6,P,Lycaenidae
27,Cercyonis,pegala,147,L,Nymphalidae
28,Chlosyne,nycteis,643,L,Nymphalidae
29,Colias,eurytheme,590,L (3 OR 4 STAGE),Pieridae
30,Colias,philodice,147,L (3 OR 4 STAGE),Pieridae
31,Copaeodes,minimus,20,NA,
32,Cyllopsis,gemma,101,L,Nymphalidae
33,Danaus,gilippus,32,?,
34,Danaus,plexippus,355,A,Nymphalidae
35,Enodia,anthedon,373,L,Nymphalidae
36,Enodia,creola,51,L,Nymphalidae
37,Enodia,portlandia,151,L,Nymphalidae
38,Epargyreus,clarus,3549,P,Hesperiidae
39,Erynnis,baptisiae,76,L,Hesperiidae
40,Erynnis,brizo,6,L,Hesperiidae
41,Erynnis,horatius,255,L,Hesperiidae
42,Erynnis,juvenalis,9,L,Hesperiidae
43,Erynnis,juvenalis clitus,9,L,Hesperiidae
44,Erynnis,martialis,7,L,Hesperiidae
45,Erynnis,sp.,2,L,Hesperiidae
46,Erynnis,zarucco,47,L,Hesperiidae
47,Euphyes,berryi,15,L,Hesperiidae
48,Euphyes,dion,108,L,Hesperiidae
49,Euphyes,dukesi,33,L,Hesperiidae
50,Euphyes,pilatka,20,L,Hesperiidae
51,Euphyes,vestris,605,L,Hesperiidae
52,Euptoieta,claudia,1543,NA,
53,Eurema,lisa,444,NA,
54,Eurema,nicippe,1868,A,Pieridae
55,Eurytides,marcellus,81,P,Papilionidae
56,Everes,comyntas,2633,L,Lycaenidae
57,Feniseca,tarquinius,6,L?,Lycaenidae
58,Hermeuptychia,sosybius,5555,NA,
59,Hesperia,attalus,3,NA,
60,Hylephila,phyleus,1691,NA,
61,Junonia,coenia,3572,?,
62,Lerema,accius,648,NA,
63,Lerodea,eufala,23,?,
64,Libytheana,carinenta,119,A,Nymphalidae
65,Limenitis,archippus,255,L,Nymphalidae
66,Limenitis,arthemis,9,NA,
67,Limenitis,arthemis astyanax,917,L,Nymphalidae
68,Lycaena,phlaeas,29,L (HALF-GROWN),Lycaenidae
69,Megathymus,yuccae,1,L,Hesperiidae
70,Megisto,cymela,84,L,Nymphalidae
71,Nastra,lherminier,243,NA,
72,Neonympha,areolata,75,L,Nymphalidae
73,Nymphalis,antiopa,6,A,Nymphalidae
74,Oligoria,maculata,71,?,
75,Panoquina,ocola,162,?,
76,Panoquina,panoquin,182,?,
77,Panthiades,bathildis,51,NA,
78,Papilio,cresphontes,1,P,Papilionidae
79,Papilio,glaucus,5014,P,Papilionidae
80,Papilio,palamedes,1808,P,Papilionidae
81,Papilio,polyxenes,218,P,Papilionidae
82,Papilio,polyxenes coloro,8,P,Papilionidae
83,Papilio,troilus,668,P,Papilionidae
84,Parrhasius,m-album,3,NA,
85,Phoebis,sennae,3772,NA,
86,Pholisora,catullus,153,L,Hesperiidae
87,Phyciodes,phaon,58,NA,
88,Phyciodes,tharos,2903,L,Nymphalidae
89,Pieris,rapae,393,P,Pieridae
90,Poanes,aaroni,2,?,
91,Poanes,viator,24,?,
92,Poanes,yehl,19,?,
93,Poanes,zabulon,1321,?,
94,Polites,origenes,196,NA,
95,Polites,peckius,57,L/P,Hesperiidae
96,Polites,themistocles,87,P,Hesperiidae
97,Polites,vibex,52,NA,
98,Polygonia,comma,145,A,Nymphalidae
99,Polygonia,interrogationis,243,A,Nymphalidae
100,Pompeius,verna,550,NA,
101,Pontia,protodice,2,P,Pieridae
102,Problema,byssus,122,L,Hesperiidae
103,Pyrgus,communis,301,L,Hesperiidae
104,Pyrgus,sp.,1,NA,
105,Satyrium,calanus,28,E,Lycaenidae
106,Satyrium,liparops,1,E,Lycaenidae
107,Satyrium,titus,2,NA,
108,Satyrodes,appalachia,79,L,Nymphalidae
109,Speyeria,aphrodite,3,L,Nymphalidae
110,Speyeria,cybele,203,L,Nymphalidae
111,Speyeria,cybele leto,7,L,Nymphalidae
112,Speyeria,diana,53,L,Nymphalidae
113,Staphylus,hayhurstii,27,L,Hesperiidae
114,Strymon,melinus,415,P,Lycaenidae
115,Thorybes,bathyllus,97,L,Hesperiidae
116,Thorybes,confusis,2,NA,
117,Thorybes,pylades,13,L,Hesperiidae
118,Urbanus,proteus,27,NA,
119,Vanessa,atalanta,306,A,Nymphalidae
120,Vanessa,cardui,129,A,Nymphalidae
