"","HEXcell","ObsYear","ObsMonth","ObsDay","Code","ntot"
"1",507,2002,5,25,"Oth",1
"2",507,2002,5,25,"RP",1
"3",507,2006,6,17,"Oth",2
"4",507,2006,9,1,"Oth",4
"5",507,2006,9,1,"RL",8
"6",507,2006,9,1,"RP",2
"7",507,2007,8,25,"Oth",8
"8",507,2007,8,25,"RE",2
"9",507,2007,8,25,"RL",7
"10",507,2007,8,25,"RP",1
"11",507,2007,9,1,"Oth",6
"12",507,2007,9,1,"RL",5
"13",507,2007,9,23,"Oth",5
"14",507,2007,9,23,"RL",2
"15",507,2008,4,21,"Oth",14
"16",507,2008,6,8,"Oth",3
"17",507,2008,6,8,"RL",6
"18",507,2008,6,8,"RP",11
"19",507,2008,6,14,"RL",12
"20",507,2008,6,14,"RP",15
"21",507,2008,9,12,"Oth",4
"22",507,2008,9,12,"RL",1
"23",507,2008,9,12,"RP",1
"24",507,2008,9,26,"Oth",5
"25",507,2008,9,26,"RL",1
"26",507,2009,5,3,"Oth",18
"27",507,2009,5,3,"RP",4
"28",507,2009,5,22,"Oth",1
"29",507,2009,5,22,"RP",35
"30",507,2009,5,23,"Oth",1
"31",507,2009,5,23,"RL",5
"32",507,2009,5,23,"RP",32
"33",507,2009,5,30,"RL",18
"34",507,2009,5,30,"RP",10
"35",507,2009,6,4,"RL",8
"36",507,2009,6,4,"RP",7
"37",507,2016,6,14,"RL",12
"38",507,2016,6,17,"RL",4
"39",507,2016,7,1,"Oth",NA
"40",507,2016,7,1,"RE",NA
"41",507,2016,7,1,"RL",NA
"42",507,2016,7,6,"Oth",2
"43",507,2016,7,6,"RL",14
"44",507,2016,7,9,"RE",2
"45",507,2016,7,23,"Oth",NA
"46",507,2016,7,23,"RE",NA
"47",507,2016,7,23,"RL",NA
"48",507,2016,7,23,"RP",NA
"49",507,2016,10,1,"Oth",NA
"50",507,2016,10,6,"Oth",NA
"51",507,2017,3,30,"Oth",2
"52",507,2017,6,9,"Oth",6
"53",507,2017,6,9,"RL",30
"54",507,2017,6,9,"RP",8
"55",507,2017,6,10,"Oth",2
"56",507,2017,6,10,"RL",18
"57",507,2017,6,10,"RP",8
"58",507,2017,7,24,"Oth",NA
"59",507,2017,7,24,"RE",NA
"60",507,2017,7,24,"RL",NA
"61",507,2017,7,24,"RP",NA
"62",507,2018,4,28,"Oth",8
"63",507,2018,6,4,"RL",66
"64",507,2018,6,4,"RP",18
"65",534,2002,5,26,"RL",11
"66",534,2002,5,26,"RP",4
"67",534,2003,6,21,"RL",1
"68",534,2003,6,28,"Oth",1
"69",534,2007,6,2,"Oth",4
"70",534,2007,6,2,"RE",1
"71",534,2007,6,2,"RL",8
"72",534,2007,6,3,"Oth",7
"73",534,2007,6,3,"RL",2
"74",534,2007,6,3,"RP",0
"75",534,2014,8,1,"Oth",4
"76",534,2014,8,1,"RP",2
"77",534,2014,8,5,"Oth",NA
"78",534,2014,8,5,"RP",NA
"79",534,2014,10,20,"Oth",2
"80",534,2014,10,27,"Oth",2
"81",534,2015,5,7,"Oth",2
"82",534,2015,6,27,"Oth",2
"83",534,2015,6,27,"RP",8
"84",534,2015,9,20,"Oth",7
"85",534,2015,9,20,"RL",2
"86",534,2015,9,20,"RP",11
"87",534,2016,7,2,"Oth",26
"88",534,2016,7,2,"RL",5
"89",534,2016,7,2,"RP",10
"90",534,2016,11,3,"RL",8
"91",534,2017,3,28,"Oth",8
"92",534,2017,4,1,"Oth",22
"93",534,2017,4,4,"Oth",26
"94",534,2017,4,9,"Oth",14
"95",534,2017,4,9,"RP",2
"96",534,2017,4,15,"Oth",28
"97",534,2017,4,15,"RP",6
"98",534,2017,4,16,"Oth",102
"99",534,2017,4,16,"RP",10
"100",534,2017,4,28,"Oth",8
"101",534,2017,5,5,"Oth",NA
"102",534,2017,5,5,"RP",6
"103",534,2017,5,14,"Oth",8
"104",534,2017,5,14,"RL",22
"105",534,2017,5,14,"RP",32
"106",534,2017,5,27,"RL",3
"107",534,2017,5,31,"Oth",6
"108",534,2017,5,31,"RL",60
"109",534,2017,5,31,"RP",8
"110",534,2017,6,2,"Oth",10
"111",534,2017,6,2,"RL",62
"112",534,2017,6,2,"RP",14
"113",534,2017,6,4,"Oth",28
"114",534,2017,6,4,"RL",44
"115",534,2017,6,4,"RP",4
"116",534,2017,6,5,"RP",NA
"117",534,2017,6,12,"Oth",10
"118",534,2017,6,12,"RE",NA
"119",534,2017,6,12,"RL",NA
"120",534,2017,6,12,"RP",10
"121",534,2017,6,19,"Oth",2
"122",534,2017,6,19,"RE",NA
"123",534,2017,6,19,"RL",18
"124",534,2017,6,19,"RP",46
"125",534,2017,6,25,"Oth",6
"126",534,2017,6,25,"RL",36
"127",534,2017,6,25,"RP",14
"128",534,2017,6,26,"Oth",8
"129",534,2017,6,26,"RE",2
"130",534,2017,6,26,"RL",38
"131",534,2017,7,5,"Oth",2
"132",534,2017,7,5,"RL",3
"133",534,2017,7,5,"RP",7
"134",534,2017,9,22,"Oth",1
"135",534,2017,9,27,"Oth",NA
"136",534,2017,9,27,"RL",24
"137",534,2017,9,27,"RP",6
"138",534,2018,4,30,"Oth",44
"139",534,2018,6,7,"Oth",16
"140",534,2018,6,7,"RL",NA
"141",534,2018,6,7,"RP",NA
"142",534,2018,6,24,"Oth",1
"143",534,2018,6,25,"Oth",24
"144",534,2018,6,25,"RE",4
"145",534,2018,6,25,"RL",6
"146",534,2018,6,25,"RP",10
"147",535,2002,5,23,"Oth",2
"148",535,2002,5,23,"RL",13
"149",535,2002,5,23,"RP",43
"150",535,2002,5,25,"RP",26
"151",535,2002,6,6,"Oth",0
"152",535,2002,6,6,"RL",1
"153",535,2002,6,6,"RP",111
"154",535,2003,5,24,"Oth",1
"155",535,2003,5,24,"RL",8
"156",535,2003,5,24,"RP",33
"157",535,2003,5,25,"Oth",5
"158",535,2003,5,25,"RL",9
"159",535,2003,5,25,"RP",83
