"","HEXcell","ObsYear","Code","Family","nobs","ntot"
"1",507,2002,"Oth","Nymphalidae",1,1
"2",507,2002,"RP","Lycaenidae",2,1
"3",507,2003,"Oth","Nymphalidae",3,6
"4",507,2003,"RE","Lycaenidae",2,18
"5",507,2003,"RL","Hesperiidae",1,7
"6",507,2003,"RL","Nymphalidae",6,44
"7",507,2003,"RL","Pieridae",1,7
"8",507,2003,"RL",NA,1,2
"9",507,2003,"RP","Lycaenidae",1,2
"10",507,2003,"RP","Pieridae",2,7
"11",507,2006,"Oth","Hesperiidae",1,3
"12",507,2006,"Oth","Lycaenidae",1,2
"13",507,2006,"Oth","Nymphalidae",8,10
"14",507,2006,"RE","Hesperiidae",1,110
"15",507,2006,"RL","Hesperiidae",1,8
"16",507,2006,"RL","Lycaenidae",1,4
"17",507,2006,"RL","Nymphalidae",7,44
"18",507,2006,"RL","Pieridae",2,12
"19",507,2006,"RP","Papilionidae",1,3
"20",507,2006,"RP","Pieridae",2,3
"21",507,2007,"Oth","Nymphalidae",22,96
"22",507,2007,"RE","Hesperiidae",3,150
"23",507,2007,"RE","Lycaenidae",1,14
"24",507,2007,"RL","Hesperiidae",13,56
"25",507,2007,"RL","Lycaenidae",2,2
"26",507,2007,"RL","Nymphalidae",17,134
"27",507,2007,"RL","Pieridae",4,11
"28",507,2007,"RL",NA,1,2
"29",507,2007,"RP","Hesperiidae",2,5
"30",507,2007,"RP","Lycaenidae",5,46
"31",507,2007,"RP","Papilionidae",5,19
"32",507,2007,"RP","Pieridae",2,2
"33",507,2008,"Oth","Hesperiidae",3,22
"34",507,2008,"Oth","Lycaenidae",1,2
"35",507,2008,"Oth","Nymphalidae",10,29
"36",507,2008,"Oth",NA,2,19
"37",507,2008,"RE","Hesperiidae",2,29
"38",507,2008,"RE","Lycaenidae",2,4
"39",507,2008,"RL","Hesperiidae",20,64
"40",507,2008,"RL","Nymphalidae",25,191
"41",507,2008,"RL","Pieridae",5,9
"42",507,2008,"RP","Hesperiidae",3,14
"43",507,2008,"RP","Lycaenidae",10,37
"44",507,2008,"RP","Papilionidae",6,28
"45",507,2008,"RP","Pieridae",1,1
"46",507,2009,"Oth","Hesperiidae",1,12
"47",507,2009,"Oth","Lycaenidae",1,5
"48",507,2009,"Oth","Nymphalidae",6,21
"49",507,2009,"Oth",NA,2,22
"50",507,2009,"RE","Hesperiidae",1,7
"51",507,2009,"RL","Hesperiidae",8,30
"52",507,2009,"RL","Nymphalidae",17,104
"53",507,2009,"RL","Pieridae",3,5
"54",507,2009,"RL",NA,2,10
"55",507,2009,"RP","Hesperiidae",2,15
"56",507,2009,"RP","Lycaenidae",11,89
"57",507,2009,"RP","Papilionidae",3,8
"58",507,2010,"Oth","Hesperiidae",1,1
"59",507,2010,"Oth","Lycaenidae",1,3
"60",507,2010,"Oth","Nymphalidae",8,18
"61",507,2010,"RE","Hesperiidae",2,147
"62",507,2010,"RE","Lycaenidae",1,4
"63",507,2010,"RL","Hesperiidae",1,1
"64",507,2010,"RL","Lycaenidae",2,4
"65",507,2010,"RL","Nymphalidae",12,89
"66",507,2010,"RL","Pieridae",2,18
"67",507,2010,"RP","Hesperiidae",2,19
"68",507,2011,"Oth","Nymphalidae",3,7
"69",507,2011,"RE","Hesperiidae",2,67
"70",507,2011,"RL","Hesperiidae",5,11
"71",507,2011,"RL","Lycaenidae",1,1
"72",507,2011,"RL","Nymphalidae",15,139
"73",507,2011,"RL","Pieridae",1,3
"74",507,2011,"RP","Hesperiidae",2,30
"75",507,2011,"RP","Papilionidae",2,16
"76",507,2012,"Oth","Hesperiidae",1,1
"77",507,2012,"Oth","Nymphalidae",7,14
"78",507,2012,"RE","Hesperiidae",2,275
"79",507,2012,"RE","Lycaenidae",1,1
"80",507,2012,"RL","Hesperiidae",4,5
"81",507,2012,"RL","Nymphalidae",14,126
"82",507,2012,"RL","Pieridae",2,22
"83",507,2012,"RP","Hesperiidae",2,18
"84",507,2012,"RP","Papilionidae",1,1
"85",507,2013,"Oth","Lycaenidae",1,1
