"","HEXcell","ObsYear","ObsMonth","ObsDay","Code","ntot"
"1",507,2003,7,29,"Oth",6
"2",507,2003,7,29,"RE",18
"3",507,2003,7,29,"RL",60
"4",507,2003,7,29,"RP",9
"5",507,2007,5,25,"Oth",45
"6",507,2007,5,25,"RL",30
"7",507,2007,5,25,"RP",32
"8",507,2007,5,28,"Oth",16
"9",507,2007,5,28,"RL",12
"10",507,2007,5,28,"RP",23
"11",507,2007,6,30,"Oth",4
"12",507,2007,6,30,"RE",23
"13",507,2007,6,30,"RL",31
"14",507,2007,6,30,"RP",5
"15",507,2008,6,20,"Oth",2
"16",507,2008,6,20,"RL",24
"17",507,2008,6,20,"RP",12
"18",507,2008,7,18,"Oth",2
"19",507,2008,7,18,"RE",29
"20",507,2008,7,18,"RL",78
"21",507,2008,7,18,"RP",8
"22",507,2014,7,19,"Oth",48
"23",507,2014,7,19,"RE",167
"24",507,2014,7,19,"RL",977
"25",507,2014,7,19,"RP",47
"26",507,2018,7,21,"Oth",34
"27",507,2018,7,21,"RE",34
"28",507,2018,7,21,"RL",NA
"29",507,2018,7,21,"RP",2
"30",534,2003,8,4,"Oth",24
"31",534,2003,8,4,"RL",21
"32",534,2003,8,4,"RP",14
"33",534,2015,5,27,"Oth",10
"34",534,2015,5,27,"RL",124
"35",534,2015,5,27,"RP",14
"36",534,2017,6,14,"Oth",28
"37",534,2017,6,14,"RE",NA
"38",534,2017,6,14,"RL",NA
"39",534,2017,6,14,"RP",28
"40",534,2017,6,26,"Oth",NA
"41",534,2017,6,26,"RE",NA
"42",534,2017,6,26,"RL",NA
"43",534,2017,6,26,"RP",NA
"44",534,2017,7,6,"Oth",NA
"45",534,2017,7,6,"RE",NA
"46",534,2017,7,6,"RL",NA
"47",534,2017,7,6,"RP",NA
"48",534,2017,7,20,"Oth",96
"49",534,2017,7,20,"RL",72
"50",534,2017,7,20,"RP",30
"51",534,2017,8,15,"Oth",NA
"52",534,2017,8,15,"RL",NA
"53",534,2017,8,15,"RP",NA
"54",534,2018,6,13,"Oth",12
"55",534,2018,6,13,"RE",22
"56",534,2018,6,13,"RL",NA
"57",534,2018,6,13,"RP",6
"58",534,2018,6,18,"Oth",28
"59",534,2018,6,18,"RE",NA
"60",534,2018,6,18,"RL",20
"61",534,2018,6,18,"RP",28
"62",534,2018,6,20,"Oth",NA
"63",534,2018,6,20,"RE",NA
"64",534,2018,6,20,"RL",30
"65",534,2018,6,20,"RP",NA
"66",534,2018,6,25,"Oth",22
"67",534,2018,6,25,"RL",72
"68",534,2018,6,25,"RP",4
"69",534,2018,7,2,"Oth",NA
"70",534,2018,7,2,"RE",NA
"71",534,2018,7,2,"RL",NA
"72",534,2018,7,2,"RP",18
"73",534,2018,7,4,"Oth",80
"74",534,2018,7,4,"RE",17
"75",534,2018,7,4,"RL",569
"76",534,2018,7,4,"RP",12
"77",534,2018,7,13,"Oth",76
"78",534,2018,7,13,"RE",46
"79",534,2018,7,13,"RL",NA
"80",534,2018,7,13,"RP",12
"81",534,2018,7,29,"Oth",54
"82",534,2018,7,29,"RL",70
"83",534,2018,7,29,"RP",8
"84",534,2018,8,27,"Oth",120
"85",534,2018,8,27,"RL",76
"86",534,2018,8,27,"RP",4
"87",535,2002,5,26,"Oth",2
"88",535,2002,5,26,"RL",33
"89",535,2002,5,26,"RP",69
"90",535,2014,7,31,"RE",68
"91",535,2014,7,31,"RL",128
"92",535,2014,7,31,"RP",4
"93",535,2018,7,14,"Oth",12
"94",535,2018,7,14,"RE",2
"95",535,2018,7,14,"RL",188
"96",535,2018,7,14,"RP",2
"97",562,2001,8,12,"Oth",14
"98",562,2001,8,12,"RE",1
"99",562,2001,8,12,"RL",24
"100",562,2001,8,12,"RP",13
"101",562,2002,5,27,"Oth",2
"102",562,2002,5,27,"RL",38
"103",562,2002,5,27,"RP",12
"104",562,2009,5,18,"Oth",1
"105",562,2009,5,18,"RL",45
"106",562,2009,5,18,"RP",62
"107",562,2014,6,8,"Oth",10
"108",562,2014,6,8,"RE",4
"109",562,2014,6,8,"RL",224
"110",562,2014,6,8,"RP",6
"111",562,2015,6,28,"Oth",24
"112",562,2015,6,28,"RE",2
"113",562,2015,6,28,"RL",33
"114",562,2015,6,28,"RP",5
"115",562,2015,7,9,"Oth",140
"116",562,2015,7,9,"RE",104
"117",562,2015,7,9,"RL",379
"118",562,2015,7,9,"RP",24
"119",562,2015,7,27,"Oth",4
"120",562,2015,7,27,"RE",2
"121",562,2015,7,27,"RL",NA
"122",562,2015,7,27,"RP",10
"123",562,2016,7,9,"Oth",42
"124",562,2016,7,9,"RE",44
"125",562,2016,7,9,"RL",190
"126",562,2016,7,9,"RP",36
"127",562,2017,7,8,"Oth",52
"128",562,2017,7,8,"RE",15
"129",562,2017,7,8,"RL",189
"130",562,2017,7,8,"RP",17
"131",562,2017,9,4,"Oth",NA
"132",562,2017,9,4,"RL",NA
"133",562,2017,9,4,"RP",58
"134",562,2018,7,7,"Oth",294
"135",562,2018,7,7,"RE",60
