"","lonid","latid","ObsYear","season","VANCAR.5.mean","DANPLE.5.mean","AGRAVAN.5.mean","EURPRO.5.mean","CHICAT.5.mean","ASCMON.5.mean"
"1",-124.25,44.75,2004,"fall",316,NA,NA,NA,NA,NA
"2",-123.75,40.75,1995,"spring",175,NA,NA,NA,NA,NA
"3",-123.75,40.75,1996,"fall",195,195,NA,NA,NA,NA
"4",-123.75,40.75,1997,"fall",NA,193,NA,NA,NA,NA
"5",-123.75,40.75,2014,"fall",206,NA,NA,NA,NA,NA
"6",-123.75,40.75,2015,"spring",100,100,NA,NA,NA,NA
"7",-123.75,40.75,2017,"fall",195,NA,NA,NA,NA,NA
"8",-123.75,42.25,2004,"spring",115,NA,NA,NA,NA,NA
"9",-123.75,42.25,2009,"spring",NA,152,NA,NA,NA,NA
"10",-123.75,42.25,2015,"spring",120,NA,NA,NA,NA,NA
"11",-123.75,42.25,2016,"fall",188,NA,NA,NA,NA,NA
"12",-123.75,42.25,2016,"spring",107,NA,NA,NA,NA,NA
"13",-123.75,42.25,2017,"fall",184,NA,NA,NA,NA,NA
"14",-123.75,44.25,2009,"fall",206,NA,NA,NA,NA,NA
"15",-123.75,44.75,1991,"fall",201,NA,NA,NA,NA,NA
"16",-123.75,44.75,1992,"fall",200,NA,NA,NA,NA,NA
"17",-123.75,44.75,1995,"fall",196,NA,NA,NA,NA,NA
"18",-123.75,44.75,1998,"fall",199,199,NA,NA,NA,NA
"19",-123.75,44.75,2001,"fall",202,NA,NA,NA,NA,NA
"20",-123.75,44.75,2003,"fall",200,NA,NA,NA,NA,NA
"21",-123.75,46.25,1992,"spring",178,NA,NA,NA,NA,NA
"22",-123.75,46.25,1995,"spring",163,NA,NA,NA,NA,NA
"23",-123.75,46.25,1996,"spring",182,NA,NA,NA,NA,NA
"24",-123.75,46.25,1998,"spring",178,NA,NA,NA,NA,NA
"25",-123.75,46.25,2001,"fall",192,NA,NA,NA,NA,NA
"26",-123.75,46.25,2002,"fall",189,NA,NA,NA,NA,NA
"27",-123.75,46.25,2004,"fall",186,NA,NA,NA,NA,NA
"28",-123.75,46.25,2005,"fall",187,NA,NA,NA,NA,NA
"29",-123.75,46.25,2005,"spring",181,NA,NA,NA,NA,NA
"30",-123.75,46.25,2009,"fall",197,197,NA,NA,NA,NA
"31",-123.75,46.25,2014,"fall",229,NA,NA,NA,NA,NA
"32",-123.75,46.25,2015,"fall",204,NA,NA,NA,NA,NA
"33",-123.75,48.75,2001,"fall",203,NA,NA,NA,NA,NA
"34",-123.75,48.75,2001,"spring",132,NA,NA,NA,NA,NA
"35",-123.25,39.25,2015,"fall",NA,198,NA,NA,NA,NA
"36",-123.25,39.25,2015,"spring",166,NA,NA,NA,NA,NA
"37",-123.25,39.25,2016,"spring",NA,53,NA,NA,NA,NA
"38",-123.25,39.25,2017,"fall",244,NA,NA,NA,NA,NA
"39",-123.25,40.75,2002,"spring",NA,136,NA,NA,NA,NA
"40",-123.25,41.25,1999,"spring",NA,170,NA,NA,NA,NA
"41",-123.25,44.25,1991,"fall",208,NA,NA,NA,NA,NA
"42",-123.25,44.25,1992,"spring",172,172,NA,NA,NA,NA
"43",-123.25,44.25,1995,"fall",197,NA,NA,NA,NA,NA
"44",-123.25,44.25,1997,"fall",197,NA,NA,NA,NA,NA
"45",-123.25,44.25,2000,"fall",191,191,NA,NA,NA,NA
"46",-123.25,44.25,2001,"fall",188,188,NA,NA,NA,NA
"47",-123.25,44.25,2002,"fall",NA,210,NA,NA,NA,NA
"48",-123.25,44.25,2003,"fall",184,186,NA,NA,NA,NA
"49",-123.25,44.25,2003,"spring",179,NA,NA,NA,NA,NA
"50",-123.25,44.25,2004,"spring",170,170,NA,NA,NA,NA
"51",-123.25,44.25,2005,"spring",121,NA,NA,NA,NA,NA
"52",-123.25,44.25,2006,"fall",NA,182,NA,NA,NA,NA
"53",-123.25,44.25,2006,"spring",NA,180,NA,NA,NA,NA
"54",-123.25,44.25,2008,"fall",188,NA,NA,NA,NA,NA
"55",-123.25,44.25,2009,"spring",179,179,NA,NA,NA,NA
"56",-123.25,44.25,2012,"fall",189,NA,NA,NA,NA,NA
"57",-123.25,44.25,2013,"fall",188,NA,NA,NA,NA,NA
"58",-123.25,44.25,2014,"fall",187,NA,NA,NA,NA,NA
