"","latid","lonid","cell.latitude","cell.longitude","year","name","season","median.date"
"1",18,-99,18.5,-98.5,2021,"Agraulis vanillae",2,222
"2",18,-98,18.5,-97.5,2021,"Agraulis vanillae",2,222
"3",18,-98,18.5,-97.5,2021,"Agraulis vanillae",2,222
"4",19,-100,19.5,-99.5,2021,"Agraulis vanillae",2,222
"5",19,-100,19.5,-99.5,2021,"Agraulis vanillae",2,222
"6",20,-106,20.5,-105.5,2002,"Agraulis vanillae",2,220
"7",20,-103,20.5,-102.5,2021,"Agraulis vanillae",2,223
"8",20,-101,20.5,-100.5,2021,"Agraulis vanillae",2,216
"9",20,-100,20.5,-99.5,2021,"Agraulis vanillae",2,222
"10",21,-106,21.5,-105.5,2021,"Agraulis vanillae",2,223
"11",23,-107,23.5,-106.5,2021,"Agraulis vanillae",2,224
"12",25,-101,25.5,-100.5,2021,"Agraulis vanillae",2,223
"13",25,-101,25.5,-100.5,2021,"Agraulis vanillae",2,223
"14",25,-98,25.5,-97.5,2001,"Agraulis vanillae",1,160
"15",25,-98,25.5,-97.5,2001,"Agraulis vanillae",1,160
"16",25,-98,25.5,-97.5,2001,"Agraulis vanillae",2,217
"17",25,-98,25.5,-97.5,2002,"Agraulis vanillae",1,5
"18",25,-98,25.5,-97.5,2002,"Agraulis vanillae",2,304
"19",25,-98,25.5,-97.5,2002,"Agraulis vanillae",2,304
"20",25,-98,25.5,-97.5,2002,"Agraulis vanillae",2,304
"21",25,-98,25.5,-97.5,2004,"Agraulis vanillae",2,199
"22",25,-98,25.5,-97.5,2009,"Agraulis vanillae",2,307
"23",25,-98,25.5,-97.5,2014,"Agraulis vanillae",1,89
"24",25,-98,25.5,-97.5,2014,"Agraulis vanillae",2,301
"25",25,-98,25.5,-97.5,2014,"Agraulis vanillae",2,301
"26",25,-98,25.5,-97.5,2014,"Agraulis vanillae",2,301
"27",26,-100,26.5,-99.5,2003,"Agraulis vanillae",1,33
"28",26,-100,26.5,-99.5,2003,"Agraulis vanillae",2,306
"29",26,-100,26.5,-99.5,2009,"Agraulis vanillae",2,311
"30",26,-100,26.5,-99.5,2009,"Agraulis vanillae",2,311
"31",26,-100,26.5,-99.5,2014,"Agraulis vanillae",2,315.5
"32",26,-100,26.5,-99.5,2014,"Agraulis vanillae",2,315.5
"33",26,-100,26.5,-99.5,2014,"Agraulis vanillae",2,315.5
"34",26,-100,26.5,-99.5,2014,"Agraulis vanillae",2,315.5
"35",26,-99,26.5,-98.5,2001,"Agraulis vanillae",1,75
"36",26,-99,26.5,-98.5,2001,"Agraulis vanillae",1,75
"37",26,-99,26.5,-98.5,2001,"Agraulis vanillae",2,251
"38",26,-99,26.5,-98.5,2001,"Agraulis vanillae",2,251
"39",26,-99,26.5,-98.5,2002,"Agraulis vanillae",2,194
"40",26,-99,26.5,-98.5,2002,"Agraulis vanillae",2,194
"41",26,-99,26.5,-98.5,2002,"Agraulis vanillae",2,194
"42",26,-99,26.5,-98.5,2002,"Agraulis vanillae",2,194
"43",26,-99,26.5,-98.5,2002,"Agraulis vanillae",2,194
"44",26,-99,26.5,-98.5,2003,"Agraulis vanillae",1,5
"45",26,-99,26.5,-98.5,2003,"Agraulis vanillae",2,302
"46",26,-99,26.5,-98.5,2003,"Agraulis vanillae",2,302
"47",26,-99,26.5,-98.5,2003,"Agraulis vanillae",2,302
"48",26,-99,26.5,-98.5,2003,"Agraulis vanillae",2,302
"49",26,-99,26.5,-98.5,2003,"Agraulis vanillae",2,302
"50",26,-99,26.5,-98.5,2003,"Agraulis vanillae",2,302
"51",26,-99,26.5,-98.5,2003,"Agraulis vanillae",2,302
"52",26,-99,26.5,-98.5,2003,"Agraulis vanillae",2,302
"53",26,-99,26.5,-98.5,2003,"Agraulis vanillae",2,302
"54",26,-99,26.5,-98.5,2004,"Agraulis vanillae",2,283
"55",26,-99,26.5,-98.5,2004,"Agraulis vanillae",2,283
"56",26,-99,26.5,-98.5,2004,"Agraulis vanillae",2,283
"57",26,-99,26.5,-98.5,2004,"Agraulis vanillae",2,283
"58",26,-99,26.5,-98.5,2004,"Agraulis vanillae",2,283
"59",26,-99,26.5,-98.5,2004,"Agraulis vanillae",2,283
"60",26,-99,26.5,-98.5,2004,"Agraulis vanillae",2,283
"61",26,-99,26.5,-98.5,2004,"Agraulis vanillae",2,283
"62",26,-99,26.5,-98.5,2004,"Agraulis vanillae",2,283
"63",26,-99,26.5,-98.5,2005,"Agraulis vanillae",1,121
"64",26,-99,26.5,-98.5,2005,"Agraulis vanillae",2,312
"65",26,-99,26.5,-98.5,2005,"Agraulis vanillae",2,312
"66",26,-99,26.5,-98.5,2005,"Agraulis vanillae",2,312
"67",26,-99,26.5,-98.5,2005,"Agraulis vanillae",2,312
"68",26,-99,26.5,-98.5,2006,"Agraulis vanillae",1,70
"69",26,-99,26.5,-98.5,2006,"Agraulis vanillae",2,340
"70",26,-99,26.5,-98.5,2007,"Agraulis vanillae",1,167
"71",26,-99,26.5,-98.5,2007,"Agraulis vanillae",2,292
"72",26,-99,26.5,-98.5,2007,"Agraulis vanillae",2,292
"73",26,-99,26.5,-98.5,2007,"Agraulis vanillae",2,292
"74",26,-99,26.5,-98.5,2007,"Agraulis vanillae",2,292
"75",26,-99,26.5,-98.5,2007,"Agraulis vanillae",2,292
"76",26,-99,26.5,-98.5,2007,"Agraulis vanillae",2,292
"77",26,-99,26.5,-98.5,2007,"Agraulis vanillae",2,292
"78",26,-99,26.5,-98.5,2007,"Agraulis vanillae",2,292
"79",26,-99,26.5,-98.5,2007,"Agraulis vanillae",2,292
"80",26,-99,26.5,-98.5,2007,"Agraulis vanillae",2,292
"81",26,-99,26.5,-98.5,2007,"Agraulis vanillae",2,292
"82",26,-99,26.5,-98.5,2007,"Agraulis vanillae",2,292
"83",26,-99,26.5,-98.5,2008,"Agraulis vanillae",1,57
"84",26,-99,26.5,-98.5,2008,"Agraulis vanillae",1,57
"85",26,-99,26.5,-98.5,2008,"Agraulis vanillae",1,57
"86",26,-99,26.5,-98.5,2008,"Agraulis vanillae",1,57
