"","lonid","year","season","median","cell.latitude","cell.longitude"
"1",-98,2001,"fall",285.5,26.25,-98.25
"2",-98,2001,"spring",140,26.25,-98.25
"3",-98,2002,"fall",295,26.25,-98.25
"4",-98,2002,"spring",52,26.25,-98.25
"5",-98,2003,"fall",292.5,26.25,-98.25
"6",-98,2003,"spring",93.5,26.25,-98.25
"7",-98,2004,"fall",292,26.25,-98.25
"8",-98,2005,"fall",286,26.25,-98.25
"9",-98,2006,"fall",301,26.25,-98.25
"10",-98,2007,"fall",283,26.25,-98.25
"11",-98,2007,"spring",148.5,26.25,-98.25
"12",-98,2008,"fall",256,26.25,-98.25
"13",-98,2008,"spring",58,26.25,-98.25
"14",-98,2009,"fall",310,26.25,-98.25
"15",-98,2009,"spring",108,26.25,-98.25
"16",-98,2010,"fall",298.5,26.25,-98.25
"17",-98,2010,"spring",113,26.25,-98.25
"18",-98,2011,"fall",276.5,26.25,-98.25
"19",-98,2011,"spring",17.5,26.25,-98.25
"20",-98,2012,"fall",301,26.25,-98.25
"21",-98,2012,"spring",62,26.25,-98.25
"22",-98,2013,"fall",305,26.25,-98.25
"23",-98,2014,"fall",299.5,26.25,-98.25
"24",-98,2014,"spring",157,26.25,-98.25
"25",-97.5,2001,"spring",152,26.25,-97.75
"26",-97.5,2002,"fall",287,26.25,-97.75
"27",-97.5,2002,"spring",54.5,26.25,-97.75
"28",-97.5,2004,"fall",280,26.25,-97.75
"29",-97.5,2014,"fall",301,26.25,-97.75
"30",-97,2001,"fall",299,29.25,-97.25
"31",-97,2003,"fall",316,29.25,-97.25
"32",-97,2004,"fall",311,29.25,-97.25
"33",-98,2021,"fall",223,29.75,-98.25
"34",-95,2021,"fall",224,29.75,-95.25
"35",-97.5,2021,"fall",223.5,30.25,-97.75
"36",-97.5,2002,"fall",269,30.75,-97.75
"37",-97.5,2003,"fall",273,30.75,-97.75
"38",-97.5,2004,"fall",267,30.75,-97.75
"39",-97.5,2005,"fall",278,30.75,-97.75
"40",-97.5,2006,"fall",273,30.75,-97.75
"41",-109.5,2003,"fall",263,31.75,-109.75
"42",-96.5,2001,"fall",223,32.75,-96.75
"43",-96.5,2001,"fall",241.5,33.25,-96.75
"44",-96.5,2021,"fall",224,33.25,-96.75
"45",-96.5,2003,"fall",258,34.25,-96.75
"46",-96.5,2003,"fall",258,34.75,-96.75
"47",-121.5,2014,"fall",232.5,37.75,-121.75
"48",-121.5,2014,"spring",139,37.75,-121.75
"49",-105,2021,"fall",206,20.75,-105.25
"50",-107,2021,"fall",216,24.75,-107.25
"51",-107.5,2021,"fall",205,25.25,-107.75
"52",-98,2001,"fall",285,26.25,-98.25
"53",-98,2002,"fall",295.5,26.25,-98.25
"54",-98,2003,"fall",292,26.25,-98.25
"55",-98,2004,"fall",292,26.25,-98.25
"56",-98,2006,"fall",301,26.25,-98.25
"57",-98,2007,"fall",291,26.25,-98.25
"58",-98,2007,"spring",149,26.25,-98.25
"59",-98,2008,"fall",275,26.25,-98.25
"60",-98,2008,"spring",83.5,26.25,-98.25
"61",-98,2009,"fall",309,26.25,-98.25
"62",-98,2009,"spring",68.5,26.25,-98.25
"63",-98,2010,"fall",299,26.25,-98.25
"64",-98,2010,"spring",148,26.25,-98.25
"65",-98,2011,"fall",242.5,26.25,-98.25
"66",-98,2011,"spring",18,26.25,-98.25
"67",-98,2012,"fall",325.5,26.25,-98.25
"68",-98,2013,"fall",306,26.25,-98.25
"69",-97.5,2001,"fall",340,26.25,-97.75
"70",-97.5,2001,"spring",152,26.25,-97.75
"71",-97.5,2002,"fall",248.5,26.25,-97.75
"72",-97.5,2002,"spring",56,26.25,-97.75
"73",-97.5,2004,"fall",280,26.25,-97.75
"74",-98,2002,"spring",53,26.25,-98.25
"75",-98,2003,"fall",292,26.25,-98.25
"76",-98,2004,"fall",297,26.25,-98.25
"77",-98,2005,"fall",286,26.25,-98.25
"78",-98,2007,"fall",283,26.25,-98.25
"79",-98,2007,"spring",148,26.25,-98.25
"80",-98,2008,"fall",301,26.25,-98.25
"81",-98,2009,"spring",65,26.25,-98.25
"82",-98,2010,"fall",304,26.25,-98.25
"83",-98,2012,"fall",200,26.25,-98.25
"84",-98,2013,"fall",307,26.25,-98.25
"85",-98,2014,"fall",312,26.25,-98.25
"86",-97.5,2002,"spring",53,26.25,-97.75
"87",-97.5,2004,"fall",277,26.25,-97.75
"88",-98,2001,"fall",291,26.25,-98.25
"89",-98,2002,"fall",305,26.25,-98.25
"90",-98,2003,"fall",292,26.25,-98.25
"91",-98,2004,"fall",297,26.25,-98.25
"92",-98,2005,"fall",302,26.25,-98.25
"93",-98,2006,"fall",296.5,26.25,-98.25
"94",-98,2007,"fall",297,26.25,-98.25
"95",-98,2008,"fall",315,26.25,-98.25
"96",-98,2008,"spring",55.5,26.25,-98.25
"97",-98,2009,"fall",310,26.25,-98.25
"98",-98,2010,"fall",300,26.25,-98.25
"99",-98,2010,"spring",82,26.25,-98.25
"100",-98,2011,"fall",295.5,26.25,-98.25
"101",-98,2012,"fall",316,26.25,-98.25
"102",-98,2012,"spring",35,26.25,-98.25
"103",-98,2013,"fall",305,26.25,-98.25
"104",-98,2014,"fall",303,26.25,-98.25
"105",-98,2014,"spring",90,26.25,-98.25
"106",-97.5,2001,"fall",350,26.25,-97.75
"107",-97.5,2002,"spring",54,26.25,-97.75
"108",-97,2001,"fall",299,29.25,-97.25
"109",-97,2004,"fall",330,29.25,-97.25
"110",-97.5,2002,"spring",105,30.75,-97.75
"111",-97.5,2003,"fall",270.5,30.75,-97.75
"112",-97.5,2003,"spring",97,30.75,-97.75
"113",-97.5,2005,"fall",287,30.75,-97.75
"114",-97.5,2005,"spring",102,30.75,-97.75
"115",-97.5,2006,"spring",109,30.75,-97.75
"116",-109.5,2003,"fall",256.5,31.75,-109.75
"117",-96.5,2001,"fall",268,33.25,-96.75
"118",-96.5,2001,"spring",103.5,33.25,-96.75
"119",-106.5,2001,"fall",272,34.25,-106.75
"120",-96.5,2003,"fall",247,34.25,-96.75
"121",-96.5,2003,"fall",247,34.75,-96.75
"122",-96.5,2003,"spring",148,34.75,-96.75
"123",-121,2002,"fall",246,36.25,-121.25
"124",-121,2002,"spring",99,36.25,-121.25
"125",-122,2006,"fall",286.5,36.75,-122.25
"126",-122,2007,"fall",290,36.75,-122.25
"127",-122,2008,"fall",280,36.75,-122.25
"128",-121.5,2001,"spring",97,37.75,-121.75
"129",-121.5,2002,"fall",256,37.75,-121.75
"130",-121.5,2004,"spring",68,37.75,-121.75
"131",-121.5,2005,"spring",91,37.75,-121.75
"132",-121.5,2014,"fall",270.5,37.75,-121.75
"133",-121.5,2014,"spring",102,37.75,-121.75
"134",-98,2003,"fall",293,26.25,-98.25
"135",-98,2004,"fall",297,26.25,-98.25
"136",-98,2007,"fall",283,26.25,-98.25
"137",-98,2008,"fall",282,26.25,-98.25
"138",-98,2009,"fall",297,26.25,-98.25
"139",-98,2010,"fall",306,26.25,-98.25
"140",-98,2012,"fall",316,26.25,-98.25
"141",-98,2013,"fall",307,26.25,-98.25
"142",-98,2014,"fall",304.5,26.25,-98.25
"143",-97.5,2016,"fall",303,30.25,-97.75
"144",-110.5,2010,"fall",299,31.75,-110.75
"145",-98,2001,"fall",297,26.25,-98.25
"146",-98,2003,"fall",292,26.25,-98.25
"147",-98,2005,"fall",286,26.25,-98.25
"148",-98,2008,"fall",315,26.25,-98.25
"149",-98,2009,"fall",308,26.25,-98.25
"150",-98,2010,"fall",307,26.25,-98.25
"151",-98,2011,"fall",295.5,26.25,-98.25
"152",-98,2014,"fall",303.5,26.25,-98.25
"153",-97.5,2014,"fall",301,26.25,-97.75
"154",-97,2001,"fall",303.5,29.25,-97.25
"155",-97,2004,"fall",330,29.25,-97.25
"156",-97.5,2003,"fall",273,30.75,-97.75
"157",-97.5,2005,"fall",292.5,30.75,-97.75
"158",-110.5,2009,"spring",86.5,31.75,-110.75
"159",-109.5,2003,"fall",258,31.75,-109.75
"160",-110.5,2009,"spring",78,32.25,-110.75
"161",-96.5,2001,"fall",223,32.75,-96.75
"162",-116,1998,"spring",61,33.25,-116.25
"163",-96.5,2001,"fall",230,33.25,-96.75
"164",-115.5,2005,"spring",92,34.25,-115.75
"165",-106.5,2001,"fall",231,34.25,-106.75
"166",-106.5,2002,"spring",97,35.25,-106.75
"167",-106,2021,"fall",211,35.25,-106.25
"168",-106.5,2004,"spring",172,35.75,-106.75
"169",-121,2002,"spring",78,36.25,-121.25
"170",-95.5,2003,"spring",120,36.25,-95.75
"171",-122,2005,"fall",261.5,36.75,-122.25
"172",-122,2005,"spring",117.5,36.75,-122.25
"173",-122,2008,"fall",283.5,36.75,-122.25
"174",-122,2009,"spring",96,36.75,-122.25
"175",-121.5,2004,"spring",120,37.25,-121.75
"176",-121.5,2001,"spring",150,37.75,-121.75
"177",-121.5,2002,"spring",131,37.75,-121.75
"178",-121.5,2003,"spring",137,37.75,-121.75
"179",-121.5,2004,"spring",113,37.75,-121.75
"180",-121.5,2005,"spring",111.5,37.75,-121.75
"181",-121.5,2007,"spring",74,37.75,-121.75
"182",-121.5,2014,"spring",107,37.75,-121.75
"183",-122.5,2008,"fall",275,38.25,-122.75
"184",-122.5,2008,"spring",107,38.25,-122.75
"185",-120.5,2005,"spring",176,39.75,-120.75
"186",-105,2021,"fall",199,39.75,-105.25
