ID,lonid,latid,ObsYear,season,VANCAR.median,DANPLE.median,AGRAVAN.median,EURPRO.median,CHICAT.median,ASCMON.median,VANCAR.n,DANPLE.n,AGRAVAN.n,EURPRO.n,CHICAT.n,ASCMON.n
1,-100.25,28.75,2004,spring,150,150,150,NA,NA,NA,7,5,7,NA,NA,NA
2,-100.25,29.75,2014,spring,154,NA,154,NA,NA,NA,7,NA,7,NA,NA,NA
3,-100.25,29.75,2015,spring,NA,NA,174,NA,NA,NA,NA,NA,7,NA,NA,NA
4,-100.25,29.75,2016,spring,NA,NA,180,NA,NA,NA,NA,NA,7,NA,NA,NA
5,-100.25,29.75,2017,spring,NA,NA,157,NA,NA,NA,NA,NA,7,NA,NA,NA
6,-100.25,29.75,2018,spring,NA,NA,163,NA,NA,NA,NA,NA,7,NA,NA,NA
7,-100.25,34.25,2004,spring,NA,NA,164,NA,NA,NA,NA,NA,7,NA,NA,NA
8,-100.25,35.75,2003,spring,127,127,NA,NA,NA,NA,7,5,NA,NA,NA,NA
9,-100.25,42.75,1988,spring,NA,170,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
10,-100.25,42.75,1989,spring,175,175,NA,NA,NA,NA,7,5,NA,NA,NA,NA
11,-100.25,42.75,1990,spring,181,181,NA,NA,NA,NA,7,5,NA,NA,NA,NA
12,-100.25,42.75,1991,fall,187,187,NA,NA,NA,NA,7,5,NA,NA,NA,NA
13,-100.25,42.75,1992,spring,180,180,NA,NA,NA,NA,7,5,NA,NA,NA,NA
14,-100.25,42.75,1993,spring,177,177,NA,NA,NA,NA,7,5,NA,NA,NA,NA
15,-100.25,42.75,1994,fall,NA,183,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
16,-100.25,42.75,1995,spring,168,168,NA,NA,NA,NA,7,5,NA,NA,NA,NA
17,-100.25,42.75,1996,fall,NA,185,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
18,-100.25,42.75,1997,spring,NA,179,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
19,-100.25,42.75,1998,fall,182,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
20,-100.25,42.75,1999,fall,NA,189,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
21,-100.25,42.75,2000,spring,176,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
22,-100.25,42.75,2003,spring,173,173,NA,NA,NA,NA,7,5,NA,NA,NA,NA
23,-100.25,42.75,2004,fall,NA,193,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
24,-100.75,29.75,2019,fall,NA,262,262,NA,NA,NA,NA,5,7,NA,NA,NA
25,-100.75,33.75,2001,spring,181,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
26,-101.25,29.25,2010,fall,NA,261,260.5,NA,NA,NA,NA,5,14,NA,NA,NA
27,-101.25,33.25,2017,spring,105,133,NA,NA,NA,NA,35,15,NA,NA,NA,NA
28,-101.25,33.75,2012,fall,NA,186,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
