"","Estimate","Pr(>|t|)","sig"
"ows.grpRE",16.026,2.28602182380651e-16,1
"ows.grpRL",3.295,2.1177047003913e-07,1
"ows.grpRP",-0.657,0.338192394479313,0
"logab.py",0.427,1.95717134740199e-104,1
"abslag",-0.006,1.22482831733012e-05,1
"ows.grpRE:warmearly",-0.95,1.13847209221351e-13,1
"ows.grpRL:warmearly",0.07,0.0826769436424378,0
"ows.grpRP:warmearly",0.238,1.25661754598493e-06,1
"ows.grpRE:warmlateopen",-0.688,5.37603336448309e-06,1
"ows.grpRL:warmlateopen",0.047,0.382933168689606,0
"ows.grpRP:warmlateopen",0.07,0.23717219292338,0
"ows.grpRE:on.dev",0.082,0.00213205337788092,1
"ows.grpRL:on.dev",0.003,0.746905638255205,0
"ows.grpRP:on.dev",0.029,0.000821980359614775,1
"ows.grpRE:as.factor(ObsMonth)7",0.538,0.0108624802972669,1
"ows.grpRL:as.factor(ObsMonth)7",0.062,0.460019162749223,0
"ows.grpRP:as.factor(ObsMonth)7",-0.362,0.00012561462243796,1
"ows.grpRE:doy",-0.09,2.27858948781392e-16,1
"ows.grpRL:doy",-0.008,0.0301530244476284,1
"ows.grpRP:doy",0.013,0.000514920760100885,1
"ows.grpRE:FR.dev",0.056,0.0401822010081005,1
"ows.grpRL:FR.dev",-0.037,0.0048040494416011,1
"ows.grpRP:FR.dev",-0.024,0.110174982957812,0
"r2m",0.607,NA,NA
"r2c",0.635,NA,NA
