"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"codeRE",1.09778113491735,0.507065020171815,3614.4631888683,2.16497114027974,0.0304551335951146
"codeRL",1.96586224523799,0.224666698300144,1923.05545089872,8.750127455969,4.56535849644392e-18
"codeRP",1.75964170675111,0.226873662809156,1853.23722037043,7.75604221734326,1.43556316247408e-14
"logab.py",0.370316082253046,0.0138226104100117,3575.84936327112,26.7906040370513,3.01050530926433e-144
"codeRE:warmearly",-1.12786314391689,0.0732283991045513,2055.57921605226,-15.4019909995109,9.68367029915436e-51
"codeRL:warmearly",0.067376934614478,0.0347970276953545,187.266047013817,1.93628419083257,0.0543382528938499
"codeRP:warmearly",0.298686148444706,0.0372977381995748,232.181253322397,8.00815713935467,5.5961922242204e-14
"codeRE:I(on.dev^2)",-0.0222751563054351,0.0107139560094836,3435.02465067677,-2.07907856684476,0.0376841574863608
"codeRL:I(on.dev^2)",-0.000798607579624971,0.00211835064930315,2313.90148646675,-0.376994988949389,0.706211898621845
"codeRP:I(on.dev^2)",-0.00515284253514824,0.00154089701801871,1944.58718951578,-3.34405380430536,0.000841314261839368
"codeRE:warmlateopen",-0.306139687226842,0.088285179049108,415.458343881436,-3.46762265789316,0.000579885893215624
"codeRL:warmlateopen",0.0411581625325366,0.0525759061842914,62.1148049384633,0.782833155329119,0.43669957503234
"codeRP:warmlateopen",0.112446012643978,0.0543402003121989,66.2712590359995,2.06929698451508,0.0424213205056059
"codeRE:MonthF7",-0.58967321570212,0.506193058216195,3589.93311128989,-1.16491762605379,0.244129738947333
"codeRL:MonthF7",-0.0736093637810414,0.217905010126476,2331.42286879598,-0.337804824856102,0.735540685995635
"codeRP:MonthF7",-0.179636164193668,0.221757529729877,2187.45573358149,-0.810056661491871,0.417995722852474
"codeRE:MonthF8",-3.18286831140761,0.636591475151915,3577.83194756686,-4.99986009182428,6.01263565856938e-07
"codeRL:MonthF8",-0.0471728964050379,0.255460244108564,2436.66478805238,-0.184658464449719,0.853512293358583
"codeRP:MonthF8",0.321660273485031,0.258124536627663,2320.96482853575,1.24614373235279,0.212837396053786
"codeRE:year",-0.0438834883088237,0.0114171359602282,3501.94316373361,-3.8436511977866,0.000123369195918574
"codeRL:year",0.00382579179263319,0.00520438835927098,3435.71868520455,0.735108821350354,0.462323395988276
"codeRP:year",-0.0222144168004652,0.00515709209291343,3542.84799193431,-4.30754704400004,1.69554224640527e-05
"codeRE:FR.dev",0.110935430971191,0.0189968168999241,3412.903257783,5.83968522493017,5.7198258856175e-09
"codeRL:FR.dev",-0.0242976726258242,0.0119584303240957,2964.72694602914,-2.03184464576973,0.0422583835874461
"codeRP:FR.dev",-0.0150635960493332,0.0123244244237158,3177.20569194725,-1.22225554163377,0.221701671583821
"codeRE:MonthF6:ObsDay",-0.0317328446259739,0.0188904479194586,3587.3363356965,-1.67983547882349,0.0930764033390453
"codeRL:MonthF6:ObsDay",-0.0029956527550179,0.00834014363702229,2522.81579364491,-0.359184791700716,0.719486911901824
"codeRP:MonthF6:ObsDay",0.00498197928913198,0.00846261616903829,2377.47632731486,0.588704389944953,0.556115517115086
"codeRE:MonthF7:ObsDay",-0.0815962983456324,0.0071822460946928,3503.1999066442,-11.3608329859272,2.1288130096135e-29
"codeRL:MonthF7:ObsDay",0.000124229284886014,0.00332626948043736,2444.41166894575,0.0373479315541443,0.970210637943825
"codeRP:MonthF7:ObsDay",0.0180231609536359,0.00348233003197076,2583.69218786053,5.17560391696591,2.44632355300661e-07
"codeRE:MonthF8:ObsDay",-0.0341680314998922,0.0238982397238229,3551.30371421276,-1.429730051031,0.152882475693937
"codeRL:MonthF8:ObsDay",0.003511709081489,0.00949847819076248,2827.17256150852,0.369712811985421,0.711624175076462
"codeRP:MonthF8:ObsDay",-0.00812695684047226,0.00936411260198657,2790.38861145647,-0.867883288668287,0.385532859147369
