"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"codeEO",1.31217008223467,0.14574164150318,3486.46290944771,9.00339853936695,3.52040310131389e-19
"codeLO",1.66552807990071,0.0831105295666215,901.178787112807,20.0399165856069,3.61352739855453e-74
"codePO",0.868152613953712,0.0826207744604147,923.061171636134,10.5076794501565,1.79648290001048e-24
"logab.py",0.500376558554051,0.0115226933219022,4796.88217842205,43.4253125181194,0
"od.wk",-0.015530696588178,0.00751474341633876,4763.70567221872,-2.06669685546559,0.0388166409961663
"sumGDD",0.0619683791644313,0.017830703980303,5008.62131433856,3.47537479355195,0.000514466383192778
"codeEO:dev.pc1",-0.0225332178230565,0.00439946654563526,5128.2674002028,-5.12180683483361,3.13698237698521e-07
"codeLO:dev.pc1",0.00844997659554586,0.00201257233874321,5060.83325790162,4.19859521711533,2.73186284219822e-05
"codePO:dev.pc1",0.00528884198576019,0.00214343547266087,5083.09125940901,2.46746032396049,0.0136402392777472
"codeEO:dev.pc2",0.0148437860081574,0.00959215698539422,5092.51942030941,1.54749198024592,0.121806794841357
"codeLO:dev.pc2",0.0156754478711598,0.00433284257058452,4902.52729792416,3.61782077603735,0.000300086581633515
"codePO:dev.pc2",-0.014480559081694,0.00457431719390593,4884.89560442192,-3.16562198637767,0.0015570324683681
"codeEO:lag.dev",0.0452054783143469,0.00760178116151921,5114.02712240015,5.94669556434752,2.91768664269478e-09
"codeLO:lag.dev",-0.00282695415354765,0.00420429665870132,4434.11940015375,-0.672396451305813,0.501366376657251
"codePO:lag.dev",-0.0231218512041621,0.00437065864376741,4549.59661609137,-5.29024412307606,1.27889143639381e-07
"codeEO:sampl.lag",-0.179049254970461,0.0221356463743,5249.21943329604,-8.08872946119799,7.42561408660239e-16
"codeLO:sampl.lag",-0.00181102052276019,0.00983935602322896,5240.7526996975,-0.184058846786791,0.853974411428336
"codePO:sampl.lag",-0.00991820878081035,0.0101055203994599,5215.25555122248,-0.981464426249679,0.326409295577528
"codeEO:dd.wk",0.0379433722802803,0.00953343682171048,5076.51612123351,3.98003081049134,6.98678172513982e-05
"codeLO:dd.wk",-0.0139336668979007,0.00532978189787153,4965.64253252684,-2.61430339268951,0.00896796509218871
"codePO:dd.wk",-0.00823366488225388,0.00616342719877036,5039.51707777512,-1.33589066873323,0.181645334167042
"codeEO:Year",-0.0411207980627899,0.00892295029418897,5168.16307052908,-4.60843069915672,4.15480699617837e-06
"codeLO:Year",-0.0147377935729688,0.00423077833242771,4893.07290226039,-3.48347098688857,0.000499291257751829
"codePO:Year",0.00618363792639483,0.0043192708374664,5075.28302206314,1.43163931114402,0.152308649226588
"codeEO:cold.dev",0.0251611379524633,0.00252445631428037,5076.83990620226,9.96695320498576,3.46890527966547e-23
"codeLO:cold.dev",-0.000943501207055167,0.00145505035214967,5036.76058707588,-0.648431998013851,0.516735140183589
"codePO:cold.dev",-0.000282032588810599,0.00151093747749674,5075.39875739028,-0.186660661351692,0.851934161977096
"codeEO:spring.p",0.490267735187204,0.174690842738603,5089.77836349432,2.80648789313366,0.00502751840252574
"codeLO:spring.p",-0.0335290838882025,0.0823633988387037,5055.69910065225,-0.407087181453794,0.68396119165158
"codePO:spring.p",-0.0157174868198993,0.0875493337264217,5097.59809727271,-0.179527200846714,0.857530896375405
"codeEO:MonthF6:ObsDay",-0.00246061602644545,0.00365613830506768,4735.23847984408,-0.673009558482745,0.500974052379829
"codeLO:MonthF6:ObsDay",-0.000301914373411181,0.00216681700914111,3498.53253031617,-0.139335427097674,0.889193116151756
"codePO:MonthF6:ObsDay",0.00977748897620632,0.00223318430507955,3584.36290966287,4.37827229663341,1.23039887059723e-05
"codeEO:MonthF7:ObsDay",-0.0437433108613415,0.0058223309811812,4802.17163378603,-7.51302373615097,6.85091930965828e-14
"codeLO:MonthF7:ObsDay",0.00129091042755939,0.00261309641890994,2803.46791377373,0.494015612366073,0.621333856544902
"codePO:MonthF7:ObsDay",0.0134522944507826,0.0027279405983917,2939.631814935,4.93130035848788,8.62223590342096e-07
"codeEO:MonthF8:ObsDay",-0.0575209851442022,0.0166100838463645,5255.29545379567,-3.46301594117431,0.00053841648369812
"codeLO:MonthF8:ObsDay",0.00821748177183314,0.00539494048415215,2066.37653210139,1.52318302601712,0.1278659360101
"codePO:MonthF8:ObsDay",0.0220601880127972,0.00562367897289927,2383.48741990688,3.92273245309807,9.00255270154262e-05
