,Estimate,Std. Error,df,t value,Pr(>|t|),group,order,table
ST.PC1,0.322316712,0.123786775,587.4381818,2.603805713,0.009452603,all,1,0.32 (0.12)*
codeRE,-28.03936838,24.42863891,847.4317348,-1.147807231,0.251372071,boe,2,-28 (24)
codeRL,49.27227717,14.2524507,579.2190464,3.45710911,0.000586048,bol,2,49 (14)**
codeRP,62.28306548,16.24407254,727.3972099,3.834202618,0.000136885,bop,2,62 (16)**
codeRE:warmdays,0.05128313,0.264148892,845.5679145,0.194144786,0.846109145,boe,3,0.05 (0.26)
codeRL:warmdays,0.857119957,0.135221751,804.4411153,6.338624891,3.86E-10,bol,3,0.86 (0.14)**
codeRP:warmdays,-0.071271589,0.151110635,849.7156744,-0.471651709,0.637296493,bop,3,-0.07 (0.15)
codeRE:open.lag,1.02699074,0.257190286,554.8369856,3.99311636,7.40E-05,boe,4,1.03 (0.26)**
codeRL:open.lag,-0.019230092,0.155382462,178.9258574,-0.12375973,0.901644434,bol,4,-0.02 (0.16)
codeRP:open.lag,-0.445226809,0.176854189,240.2131772,-2.517479583,0.012471603,bop,4,-0.45 (0.18)*
codeRE:summer.gdd,0.034569005,0.034071635,847.0510336,1.014597773,0.310587317,boe,5,0.035 (0.034)
codeRL:summer.gdd,0.000438776,0.016942159,802.9178495,0.025898445,0.979344775,bol,5,0.0004 (0.017)
codeRP:summer.gdd,0.084848027,0.019668182,854.4600286,4.313974104,1.79E-05,bop,5,0.085 (0.02)**
codeRE:year,2.906088021,0.671011238,848.7884036,4.330908122,1.66E-05,boe,6,2.91 (0.67)**
codeRL:year,-1.950297449,0.34028609,826.7023751,-5.731346369,1.40E-08,bol,6,-1.95 (0.34)**
codeRP:year,-1.627884756,0.364285732,854.7850502,-4.468703034,8.93E-06,bop,6,-1.63 (0.36)**
codeRE:uniqObsDays,0.741111536,0.269121753,852.3689544,2.75381506,0.00601589,boe,7,0.74 (0.27)*
codeRL:uniqObsDays,0.507924383,0.046364246,678.0698233,10.95508777,7.93E-26,bol,7,0.51 (0.05)**
codeRP:uniqObsDays,0.261499477,0.045016317,796.5959699,5.808993187,9.08E-09,bop,7,0.26 (0.05)**
