"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"codeRE",163.418147679679,6.41198574486636,735.468215046265,25.486355425933,3.50558899903441e-103
"codeRL",146.442004777157,4.79677425842843,442.280144100583,30.5292675634763,5.96641290279004e-111
"codeRP",112.127918259435,4.90692348791365,506.123833701983,22.850961205248,6.1454552212729e-80
"warmearly",-9.46780289401473,1.27497132653171,299.27385634286,-7.42589476091975,1.17411585503126e-12
"uniqObsDays",-0.139209713210936,0.0206066878048178,701.810717831126,-6.75555987112056,2.98953782899116e-11
"codeRE:FFD",-0.036249984189923,0.0697699103337474,848.988917039782,-0.519564723768737,0.603502417187854
"codeRL:FFD",-0.21236697848599,0.0537790815235753,745.15082516937,-3.94887700699936,8.59644202063022e-05
"codeRP:FFD",0.0670200155498764,0.0577312223307895,777.394564442037,1.16089722067314,0.246040048904852
"codeRE:warmlateopen",-8.02808055748572,2.50483868198841,288.615444810141,-3.20502897660172,0.00150195586508604
"codeRL:warmlateopen",-1.89804998411329,1.76058173923805,94.9033185842212,-1.07808114886772,0.283730154866058
"codeRP:warmlateopen",-2.44479837665394,1.82509009137882,112.154189424514,-1.33954942180796,0.183099999538868
"codeRE:year",-1.12566305648537,0.277716708688253,849.881956640646,-4.0532781113612,5.51378730416654e-05
"codeRL:year",0.437359643544237,0.165626961455587,813.344513691565,2.64063072642623,0.00843387763611299
"codeRP:year",0.357176215713656,0.163503129831762,857.402611529412,2.18452219282393,0.0291940707196766
